blocks,threads,reps,bandwidth
108,32,2,193.762
108,32,4,204.473
108,32,8,193.762
108,32,16,198.569
108,32,32,177.396
108,32,64,178.384
108,32,128,172.912
108,32,256,177.251
108,32,512,179.361
108,32,1024,193.441
108,32,2048,190.929
108,32,4096,201.868
108,32,8192,194.072
108,32,16384,203.969
108,32,32768,194.911
108,32,65536,204.424
108,32,131072,195.151
108,32,262144,204.605
108,64,2,367.682
108,64,4,379.1
108,64,8,362.226
108,64,16,379.69
108,64,32,344.831
108,64,64,337.969
108,64,128,348.213
108,64,256,351.93
108,64,512,349.764
108,64,1024,374.557
108,64,2048,365.927
108,64,4096,387.281
108,64,8192,371.68
108,64,16384,390.922
108,64,32768,372.587
108,64,65536,391.747
108,64,131072,372.856
108,64,262144,391.95
108,128,2,709.711
108,128,4,697.545
108,128,8,685.788
108,128,16,667.963
108,128,32,648.448
108,128,64,657.175
108,128,128,625.2
108,128,256,645.501
108,128,512,661.404
108,128,1024,698.839
108,128,2048,693.097
108,128,4096,728.621
108,128,8192,701.205
108,128,16384,732.169
108,128,32768,703.314
108,128,65536,733.468
108,128,131072,704.094
108,128,262144,733.893
108,256,2,939.002
108,256,4,1130.28
108,256,8,1291.75
108,256,16,1236.16
108,256,32,1256.84
108,256,64,1175.17
108,256,128,1147.88
108,256,256,1242.84
108,256,512,1211.71
108,256,1024,1292.02
108,256,2048,1266.26
108,256,4096,1366.58
108,256,8192,1288.12
108,256,16384,1380.83
108,256,32768,1296.28
108,256,65536,1321.22
108,256,131072,1276.52
108,256,262144,1259.77
108,512,2,1356.34
108,512,4,1719.3
108,512,8,1907.35
108,512,16,2034.51
108,512,32,1933.79
108,512,64,1980.86
108,512,128,2061.35
108,512,256,2031.33
108,512,512,2066.25
108,512,1024,2059.72
108,512,2048,2074.76
108,512,4096,2120.37
108,512,8192,2069.33
108,512,16384,2097.19
108,512,32768,2077.11
108,512,65536,2001.29
108,512,131072,1932.18
108,512,262144,1835.97
108,1024,2,1849.55
108,1024,4,2068.99
108,1024,8,2239.82
108,1024,16,2314.13
108,1024,32,2497.6
108,1024,64,2536.53
108,1024,128,2576.68
108,1024,256,2624.29
108,1024,512,2628.7
108,1024,1024,2659.57
108,1024,2048,2654.04
108,1024,4096,2651.73
108,1024,8192,2628.81
108,1024,16384,2618.93
108,1024,32768,2610.81
108,1024,65536,2588.56
108,1024,131072,2562.56
108,1024,262144,2552.69
216,32,2,331.713
216,32,4,374.449
216,32,8,350.273
216,32,16,360.355
216,32,32,325.087
216,32,64,332.334
216,32,128,320.079
216,32,256,336.181
216,32,512,338.335
216,32,1024,369.499
216,32,2048,360.185
216,32,4096,383.64
216,32,8192,366.004
216,32,16384,387.105
216,32,32768,366.784
216,32,65536,388.124
216,32,131072,367.028
216,32,262144,388.196
216,64,2,598.384
216,64,4,678.168
216,64,8,659.84
216,64,16,651.042
216,64,32,629.634
216,64,64,604.87
216,64,128,616.809
216,64,256,629.178
216,64,512,649.526
216,64,1024,705.657
216,64,2048,675.063
216,64,4096,729.216
216,64,8192,681.498
216,64,16384,735.373
216,64,32768,684.913
216,64,65536,713.364
216,64,131072,673.256
216,64,262144,715.125
216,128,2,1109.73
