blocks,threads,reps,bandwidth
108,32,2,1298.62
108,32,4,1356.34
108,32,8,1555.04
108,32,16,1695.42
108,32,32,1762.75
108,32,64,1798.46
108,32,128,1822.8
108,32,256,1833.06
108,32,512,1838.45
108,32,1024,1841.59
108,32,2048,1843.01
108,32,4096,1843.74
108,32,8192,1844.13
108,32,16384,1837.86
108,32,32768,1844.13
108,32,65536,1841.69
108,32,131072,1842.75
108,32,262144,1841.96
108,64,2,1356.34
108,64,4,1507.04
108,64,8,1707.28
108,64,16,1953.12
108,64,32,2091.14
108,64,64,2174.97
108,64,128,2225.78
108,64,256,2255.99
108,64,512,2268.77
108,64,1024,2289.38
108,64,2048,2293.33
108,64,4096,2301.01
108,64,8192,2270.48
108,64,16384,2284.39
108,64,32768,2286.82
108,64,65536,2293.6
108,64,131072,2289.15
108,64,262144,2296.24
108,128,2,1387.16
108,128,4,1525.88
108,128,8,1782.05
108,128,16,1953.12
108,128,32,2104.66
108,128,64,2155.77
108,128,128,2218.2
108,128,256,2240.46
108,128,512,2269.1
108,128,1024,2275.71
108,128,2048,2293.66
108,128,4096,2296.99
108,128,8192,2280.34
108,128,16384,2292.69
108,128,32768,2291.37
108,128,65536,2288.11
108,128,131072,2287.57
108,128,262144,2284.96
108,256,2,1387.16
108,256,4,1525.88
108,256,8,1769.13
108,256,16,1976.85
108,256,32,2104.66
108,256,64,2192.06
108,256,128,2235.98
108,256,256,2252.09
108,256,512,2254.36
108,256,1024,2269.43
108,256,2048,2290.72
108,256,4096,2283.02
108,256,8192,2269.74
108,256,16384,2243.1
108,256,32768,2280.01
108,256,65536,2259.28
108,256,131072,2249.8
108,256,262144,2253.99
108,512,2,1387.16
108,512,4,1585.33
108,512,8,1743.86
108,512,16,1976.85
108,512,32,2113.77
108,512,64,2146.29
108,512,128,2237.26
108,512,256,2255.99
108,512,512,2269.76
108,512,1024,2280.52
108,512,2048,2292.4
108,512,4096,2268.36
108,512,8192,2264.1
108,512,16384,2257.28
108,512,32768,2265.89
108,512,65536,2263.96
108,512,131072,2263.06
108,512,262144,2252.85
108,1024,2,1387.16
108,1024,4,1488.66
108,1024,8,1649.6
108,1024,16,1922.37
108,1024,32,2100.13
108,1024,64,2182.26
108,1024,128,2256.64
108,1024,256,2274.38
108,1024,512,2288.71
108,1024,1024,2275.54
108,1024,2048,2267.61
108,1024,4096,2261.46
108,1024,8192,2260.11
108,1024,16384,2257.96
108,1024,32768,2246.81
108,1024,65536,2257.61
108,1024,131072,2239.95
108,1024,262144,2242.31
216,32,2,1387.16
216,32,4,1488.66
216,32,8,1769.13
216,32,16,1929.97
216,32,32,2151.02
216,32,64,2214.43
216,32,128,2275.04
216,32,256,2303.21
216,32,512,2294.08
216,32,1024,2314.13
216,32,2048,2318.85
216,32,4096,2294.88
216,32,8192,2286.4
216,32,16384,2286.01
216,32,32768,2282.68
216,32,65536,2287.55
216,32,131072,2283.32
216,32,262144,2282.88
216,64,2,1356.34
216,64,4,1525.88
216,64,8,1695.42
216,64,16,1929.97
216,64,32,2082.22
216,64,64,2172.55
216,64,128,2219.46
216,64,256,2237.9
216,64,512,2271.74
216,64,1024,2279.69
216,64,2048,2296.78
216,64,4096,2269.88
216,64,8192,2269.45
216,64,16384,2266.15
216,64,32768,2268.31
216,64,65536,2272.18
216,64,131072,2266.93
216,64,262144,2271.5
216,128,2,1387.16
216,128,4,1545.19
216,128,8,1707.28
216,128,16,1945.34
216,128,32,2077.79
216,128,64,2187.15
216,128,128,2208.17
216,128,256,2250.79
216,128,512,2264.49
216,128,1024,2287.03
216,128,2048,2265.89
216,128,4096,2266.22
216,128,8192,2264.12
216,128,16384,2260.78
216,128,32768,2267.18
216,128,65536,2265.65
216,128,131072,2259.99
216,128,262144,2256.43
216,256,2,1387.16
216,256,4,1525.88
216,256,8,1719.3
216,256,16,1937.62
216,256,32,2095.63
216,256,64,2165.33
216,256,128,2225.78
216,256,256,2271.08
216,256,512,2278.03
216,256,1024,2283.02
216,256,2048,2289.55
216,256,4096,2257.17
216,256,8192,2246.93
216,256,16384,2246.99
216,256,32768,2239.26
216,256,65536,2241.83
216,256,131072,2246.9
216,256,262144,2242.5
216,512,2,1606.19
216,512,4,1821.94
216,512,8,1968.88
216,512,16,2095.63
216,512,32,2199.47
216,512,64,2263.18
216,512,128,2307.29
216,512,256,2348.92
216,512,512,2335.92
216,512,1024,2330.7
216,512,2048,2300.84
216,512,4096,2286.28
216,512,8192,2277.66
216,512,16384,2259.43
216,512,32768,2247.65
216,512,65536,2244.42
216,512,131072,2240.27
216,512,262144,2234.23
216,1024,2,1743.86
216,1024,4,2034.51
216,1024,8,2179.83
216,1024,16,2314.13
216,1024,32,2336.27
216,1024,64,2370.3
216,1024,128,2395
216,1024,256,2368.86
216,1024,512,2335.23
216,1024,1024,2333.66
216,1024,2048,2316.44
216,1024,4096,2261.22
216,1024,8192,2235.56
216,1024,16384,2226.6
216,1024,32768,2214.72
216,1024,65536,2214.88
216,1024,131072,2214.73
216,1024,262144,2214
432,32,2,1356.34
432,32,4,1488.66
432,32,8,1683.73
432,32,16,1892.56
432,32,32,2060.26
432,32,64,2172.55
432,32,128,2232.14
432,32,256,2287.7
432,32,512,2296.11
432,32,1024,2329.48
432,32,2048,2326.88
432,32,4096,2294.5
432,32,8192,2294.4
432,32,16384,2293.43
432,32,32768,2294.79
432,32,65536,2286.96
432,32,131072,2281.86
432,32,262144,2276.43
432,64,2,1356.34
432,64,4,1488.66
432,64,8,1719.3
432,64,16,1870.81
432,64,32,2021.87
432,64,64,2127.59
432,64,128,2206.92
432,64,256,2227.05
432,64,512,2259.91
432,64,1024,2282.69
432,64,2048,2277.12
432,64,4096,2253.1
432,64,8192,2266.83
432,64,16384,2266.21
432,64,32768,2260.61
432,64,65536,2267.16
432,64,131072,2253.96
432,64,262144,2246.22
432,128,2,1387.16
432,128,4,1470.73
432,128,8,1649.6
432,128,16,1842.57
432,128,32,2051.6
432,128,64,2151.02
432,128,128,2224.52
432,128,256,2255.34
432,128,512,2270.75
432,128,1024,2296.27
432,128,2048,2275.54
432,128,4096,2278.49
432,128,8192,2270.02
432,128,16384,2251.46
432,128,32768,2258.45
432,128,65536,2248.74
432,128,131072,2243.98
432,128,262144,2235.44
432,256,2,1606.19
432,256,4,1878
432,256,8,2034.51
432,256,16,2179.83
432,256,32,2244.97
432,256,64,2308.66
432,256,128,2357.42
432,256,256,2358.13
432,256,512,2365.63
432,256,1024,2355.29
432,256,2048,2337.67
432,256,4096,2282.15
432,256,8192,2274.71
432,256,16384,2259.53
432,256,32768,2248.55
432,256,65536,2231.76
432,256,131072,2230.27
432,256,262144,2224.66
432,512,2,1795.15
432,512,4,2068.99
432,512,8,2199.47
432,512,16,2281.69
432,512,32,2330.7
432,512,64,2353.16
432,512,128,2371.74
432,512,256,2395.74
432,512,512,2347.51
432,512,1024,2327.23
432,512,2048,2302.87
432,512,4096,2277.28
432,512,8192,2240.24
432,512,16384,2238.27
432,512,32768,2224.31
432,512,65536,2221.83
432,512,131072,2213.56
432,512,262144,2211.18
432,1024,2,1849.55
432,1024,4,2001.15
432,1024,8,2141.58
432,1024,16,2271.08
432,1024,32,2325.15
432,1024,64,2367.42
432,1024,128,2367.42
432,1024,256,2346.1
432,1024,512,2370.66
432,1024,1024,2339.25
432,1024,2048,2302.96
432,1024,4096,2275.87
432,1024,8192,2213.64
432,1024,16384,2195.57
432,1024,32768,2178.97
432,1024,65536,2184.46
432,1024,131072,2184.48
432,1024,262144,2182.43
864,32,2,1387.16
864,32,4,1507.04
864,32,8,1683.73
864,32,16,1899.93
864,32,32,2047.3
864,32,64,2153.39
864,32,128,2241.11
864,32,256,2268.44
864,32,512,2292.06
864,32,1024,2277.2
864,32,2048,2264.66
864,32,4096,2268.73
864,32,8192,2272.33
864,32,16384,2251.77
864,32,32768,2253.73
864,32,65536,2252.53
864,32,131072,2242.73
864,32,262144,2239.48
864,64,2,1356.34
864,64,4,1453.22
864,64,8,1616.83
864,64,16,1849.55
864,64,32,2034.51
864,64,64,2134.56
864,64,128,2201.94
864,64,256,2235.98
864,64,512,2269.76
864,64,1024,2260.4
864,64,2048,2238.46
864,64,4096,2236.74
864,64,8192,2241.85
864,64,16384,2244.98
864,64,32768,2237.29
864,64,65536,2245.24
864,64,131072,2236.61
864,64,262144,2233.65
864,128,2,1695.42
864,128,4,1907.35
864,128,8,2068.99
864,128,16,2179.83
864,128,32,2239.82
864,128,64,2303.21
864,128,128,2333.48
864,128,256,2356.71
864,128,512,2369.58
864,128,1024,2358.85
864,128,2048,2342.14
864,128,4096,2290.17
864,128,8192,2262.12
864,128,16384,2254
864,128,32768,2242.68
864,128,65536,2232.79
864,128,131072,2226.06
864,128,262144,2215.93
864,256,2,1849.55
864,256,4,2068.99
864,256,8,2239.82
864,256,16,2325.15
864,256,32,2358.85
864,256,64,2378.96
864,256,128,2397.94
864,256,256,2409.78
864,256,512,2416.11
864,256,1024,2376.79
864,256,2048,2356.98
864,256,4096,2293.33
864,256,8192,2262.46
864,256,16384,2242.57
864,256,32768,2234.57
864,256,65536,2227.03
864,256,131072,2215.81
864,256,262144,2210.9
864,512,2,1907.35
864,512,4,2104.66
864,512,8,2281.69
864,512,16,2325.15
864,512,32,2405.33
864,512,64,2402.37
864,512,128,2412.75
864,512,256,2435.32
864,512,512,2442.55
864,512,1024,2384.95
864,512,2048,2383.22
864,512,4096,2306.78
864,512,8192,2258.44
864,512,16384,2262.69
864,512,32768,2215.83
864,512,65536,2215.56
864,512,131072,2199.96
864,512,262144,2192.9
864,1024,2,1907.35
