blocks,threads,reps,bandwidth
132,32,2,164.524
132,32,4,181.675
132,32,8,170.474
132,32,16,176.697
132,32,32,172.132
132,32,64,161.081
132,32,128,158.892
132,32,256,156.417
132,32,512,158.834
132,32,1024,160.225
132,32,2048,160.822
132,32,4096,161.13
132,32,8192,161.326
132,32,16384,161.386
132,32,32768,161.434
132,32,65536,161.44
132,32,131072,161.474
132,32,262144,161.455
132,64,2,317.581
132,64,4,332.334
132,64,8,347.377
132,64,16,348.223
132,64,32,341.518
132,64,64,329.132
132,64,128,318.534
132,64,256,313.617
132,64,512,319.616
132,64,1024,322.303
132,64,2048,323.597
132,64,4096,324.488
132,64,8192,324.71
132,64,16384,324.778
132,64,32768,324.973
132,64,65536,324.851
132,64,131072,325.05
132,64,262144,324.889
132,128,2,586.407
132,128,4,684.027
132,128,8,690.557
132,128,16,688.974
132,128,32,661.749
132,128,64,659.552
132,128,128,629.949
132,128,256,623.316
132,128,512,631.43
132,128,1024,634.359
132,128,2048,636.232
132,128,4096,637.498
132,128,8192,637.511
132,128,16384,638.088
132,128,32768,637.778
132,128,65536,638.223
132,128,131072,637.996
132,128,262144,638.281
132,256,2,1155.7
132,256,4,1334.71
132,256,8,1361.7
132,256,16,1366.46
132,256,32,1325.31
132,256,64,1306.31
132,256,128,1265.18
132,256,256,1237.18
132,256,512,1252.86
132,256,1024,1261.25
132,256,2048,1260.77
132,256,4096,1266.86
132,256,8192,1263.86
132,256,16384,1267.5
132,256,32768,1264.59
132,256,65536,1267.96
132,256,131072,1265.05
132,256,262144,1268.33
132,512,2,2152.6
132,512,4,2485.95
132,512,8,2547
132,512,16,2672.46
132,512,32,2532.83
132,512,64,2547.07
132,512,128,2510.44
132,512,256,2461.73
132,512,512,2484.49
132,512,1024,2500.88
132,512,2048,2501.59
132,512,4096,2505.78
132,512,8192,2503.85
132,512,16384,2507
132,512,32768,2503.88
132,512,65536,2508.57
132,512,131072,2505.35
132,512,262144,2509.34
132,1024,2,3174.09
132,1024,4,4392.33
132,1024,8,4769.54
132,1024,16,4846.46
132,1024,32,5035.99
132,1024,64,4932.91
132,1024,128,4913.78
132,1024,256,4872.09
132,1024,512,4943.9
132,1024,1024,4973.52
132,1024,2048,5001.33
132,1024,4096,4993.27
132,1024,8192,5009.91
132,1024,16384,4995.69
132,1024,32768,5012.85
132,1024,65536,5002.72
132,1024,131072,5014.66
132,1024,262144,5003.91
264,32,2,325.196
264,32,4,339.32
264,32,8,353.859
264,32,16,342.313
264,32,32,341.455
264,32,64,331.482
264,32,128,320.455
264,32,256,312.897
264,32,512,319.461
264,32,1024,322.083
264,32,2048,323.639
264,32,4096,324.33
264,32,8192,324.591
264,32,16384,324.876
264,32,32768,324.805
264,32,65536,324.966
264,32,131072,324.882
264,32,262144,324.996
264,64,2,619.253
264,64,4,681.878
264,64,8,678.325
264,64,16,691.351
264,64,32,654.103
264,64,64,659.352
264,64,128,636.763
264,64,256,620.179
264,64,512,632.844
264,64,1024,634.865
264,64,2048,623.493
264,64,4096,619.403
264,64,8192,615.602
264,64,16384,638.012
264,64,32768,614.353
264,64,65536,638.202
264,64,131072,614.038
264,64,262144,638.248
264,128,2,1155.24
264,128,4,1276
264,128,8,1380.3
264,128,16,1330.24
264,128,32,1329.86
264,128,64,1282.28
264,128,128,1255.34
264,128,256,1241.47
