blocks,threads,reps,bandwidth
132,32,2,2178.21
132,32,4,2616.96
132,32,8,2704.53
132,32,16,2780.58
132,32,32,2814.13
132,32,64,2837.13
132,32,128,2849.02
132,32,256,2852.82
132,32,512,2842.92
132,32,1024,2844.43
132,32,2048,2845.24
132,32,4096,2854.39
132,32,8192,2849.82
132,32,16384,2853.3
132,32,32768,2852.13
132,32,65536,2852.62
132,32,131072,2853.68
132,32,262144,2852.68
132,64,2,2912.21
132,64,4,3527.62
132,64,8,3716.7
132,64,16,3911.47
132,64,32,4005.04
132,64,64,4037.64
132,64,128,4071.04
132,64,256,4076.04
132,64,512,4082.45
132,64,1024,4077.06
132,64,2048,4084.78
132,64,4096,4052.87
132,64,8192,4066.44
132,64,16384,4069.65
132,64,32768,4075.55
132,64,65536,4068.66
132,64,131072,4084.62
132,64,262144,4078.32
132,128,2,2953.31
132,128,4,3424.53
132,128,8,3808.5
132,128,16,3891.33
132,128,32,3999.91
132,128,64,4042.17
132,128,128,4047.14
132,128,256,4059.36
132,128,512,4066.8
132,128,1024,4071.63
132,128,2048,4085.83
132,128,4096,4062.12
132,128,8192,4077.08
132,128,16384,4078.57
132,128,32768,4078.1
132,128,65536,4082.01
132,128,131072,4088.74
132,128,262144,4085.74
132,256,2,2938.5
132,256,4,3628.1
132,256,8,3757.21
132,256,16,3903
132,256,32,4001.28
132,256,64,4040.25
132,256,128,4040.69
132,256,256,4069.81
132,256,512,4091.97
132,256,1024,4081.8
132,256,2048,4093.27
132,256,4096,4098.37
132,256,8192,4098.49
132,256,16384,4099.03
132,256,32768,4089.55
132,256,65536,4079.98
132,256,131072,4092.02
132,256,262144,4083.35
132,512,2,2995.59
132,512,4,3434.57
132,512,8,3612.44
132,512,16,3782.68
132,512,32,3929.5
132,512,64,3970.44
132,512,128,4020.93
132,512,256,4029.66
132,512,512,4069.7
132,512,1024,4077.85
132,512,2048,4081.85
132,512,4096,4092.07
132,512,8192,4103.97
132,512,16384,4085.51
132,512,32768,4093.75
132,512,65536,4082.98
132,512,131072,4098.78
132,512,262144,4095.43
132,1024,2,2909.32
132,1024,4,3352.05
132,1024,8,3667.84
132,1024,16,3817.8
132,1024,32,3888.75
132,1024,64,4045.13
132,1024,128,4086.04
132,1024,256,4105.36
132,1024,512,4113.42
132,1024,1024,4121.48
132,1024,2048,4111.23
132,1024,4096,4118.52
132,1024,8192,4084.28
132,1024,16384,4103.28
132,1024,32768,4116.47
132,1024,65536,4104.4
132,1024,131072,4106.99
132,1024,262144,4097.02
264,32,2,2690.25
264,32,4,3416.55
264,32,8,3710.81
264,32,16,3898.45
264,32,32,3987.33
264,32,64,4041.82
264,32,128,4081.77
264,32,256,4087.95
264,32,512,4086.24
264,32,1024,4104.9
264,32,2048,4096.94
264,32,4096,4092.65
264,32,8192,4092.55
264,32,16384,4095.02
264,32,32768,4088.83
264,32,65536,4088.17
264,32,131072,4089.64
264,32,262144,4087.15
264,64,2,2819.72
264,64,4,3327.3
264,64,8,3657.54
264,64,16,3882.95
264,64,32,3967.75
264,64,64,4017.23
264,64,128,4043.21
264,64,256,4029.7
264,64,512,4029.74
264,64,1024,4040.72
264,64,2048,4064.61
264,64,4096,4057.18
264,64,8192,4085.47
264,64,16384,4065.66
264,64,32768,4066.51
264,64,65536,4080.39
264,64,131072,4082.3
264,64,262144,4087.47
264,128,2,2861.02
264,128,4,3363.59
264,128,8,3760.83
264,128,16,3900.4
264,128,32,4028.79
264,128,64,4046.88
264,128,128,4062.4
264,128,256,4081.01
264,128,512,4089.6
264,128,1024,4083.82
264,128,2048,4071.18
264,128,4096,4040.58
264,128,8192,4080.9
264,128,16384,4087.66
264,128,32768,4093.74
264,128,65536,4085.07
264,128,131072,4091.86
264,128,262144,4094.59
264,256,2,2720.23
264,256,4,3200.1
264,256,8,3555.45
264,256,16,3795.55
264,256,32,3936.43
264,256,64,3966.41
264,256,128,4021.28
264,256,256,4027.49
264,256,512,4061.43
264,256,1024,4042.55
264,256,2048,4060.5
264,256,4096,4068.03
264,256,8192,4086.55
264,256,16384,4076.19
264,256,32768,4078.13
264,256,65536,4080.73
264,256,131072,4089.35
264,256,262144,4086.95
264,512,2,2763.86
264,512,4,3348.21
264,512,8,3668.99
264,512,16,3834.67
264,512,32,3956.36
264,512,64,3998.38
264,512,128,4047.84
264,512,256,4055.15
264,512,512,4070.67
264,512,1024,4083.02
264,512,2048,4085.41
264,512,4096,4080.45
264,512,8192,4033.38
264,512,16384,4087.91
264,512,32768,4095
264,512,65536,4072.96
264,512,131072,4082.18
264,512,262144,4086.34
264,1024,2,2944.41
264,1024,4,3069.34
264,1024,8,3740.42
264,1024,16,3844.1
264,1024,32,3946.37
264,1024,64,4003.84
264,1024,128,3970.69
264,1024,256,4044.3
264,1024,512,4016.06
264,1024,1024,4039.99
264,1024,2048,4019.45
264,1024,4096,4065.11
264,1024,8192,4067.98
264,1024,16384,4089.92
264,1024,32768,4085.11
264,1024,65536,4075.65
264,1024,131072,4065.34
264,1024,262144,4069.16
528,32,2,3087.13
528,32,4,3487.72
528,32,8,3609.1
528,32,16,3912.12
528,32,32,3993.78
528,32,64,4069.72
528,32,128,4063.72
528,32,256,4084.79
528,32,512,4094.83
528,32,1024,4095.55
528,32,2048,4092.32
528,32,4096,4081.41
528,32,8192,4080.28
528,32,16384,4073.24
528,32,32768,4073.89
528,32,65536,4080.32
528,32,131072,4077.75
528,32,262144,4080.09
528,64,2,2798.17
528,64,4,3458.9
528,64,8,3787.57
528,64,16,3880.38
528,64,32,3990.38
528,64,64,4028.27
528,64,128,4051.95
528,64,256,4060.11
528,64,512,4071.66
528,64,1024,4078.43
528,64,2048,4050.53
528,64,4096,4052.09
528,64,8192,4069.46
528,64,16384,4080.86
528,64,32768,4072.04
528,64,65536,4086.64
528,64,131072,4079.93
528,64,262144,4087.97
528,128,2,2971.29
528,128,4,3498.13
528,128,8,3709.64
528,128,16,3908.86
528,128,32,3972.46
528,128,64,4009.32
528,128,128,4050.81
528,128,256,4069.28
528,128,512,4080.41
528,128,1024,4025.59
528,128,2048,3975.6
528,128,4096,4014.77
528,128,8192,4068.45
528,128,16384,4082.58
528,128,32768,4073.17
528,128,65536,4082.53
528,128,131072,4082.27
528,128,262144,4088.05
528,256,2,2944.41
528,256,4,3264.28
528,256,8,3583.72
528,256,16,3782.68
528,256,32,3862.16
528,256,64,3954.69
528,256,128,3996.93
528,256,256,4042.21
528,256,512,4034.41
528,256,1024,4010.24
528,256,2048,4012.27
528,256,4096,4023.48
528,256,8192,4038.18
528,256,16384,4065.69
528,256,32768,4084.95
528,256,65536,4071.84
528,256,131072,4078
528,256,262144,4081.06
528,512,2,2992.53
528,512,4,3235.44
528,512,8,3643.89
528,512,16,3806.64
528,512,32,3936.43
528,512,64,3998.55
528,512,128,4018.09
528,512,256,4054.89
528,512,512,4061.14
528,512,1024,4074.55
528,512,2048,4067.91
528,512,4096,4064.6
528,512,8192,4054.26
528,512,16384,4060.9
528,512,32768,4071.86
528,512,65536,4074.82
528,512,131072,4064.51
528,512,262144,4070.74
528,1024,2,3051.76
528,1024,4,3390.84
528,1024,8,3699.1
528,1024,16,3860.57
528,1024,32,3810.05
528,1024,64,3871.89
528,1024,128,3854.93
528,1024,256,3799.12
