blocks,threads,reps,bandwidth
1,256,2048,46.5473
1,512,2048,69.4074
1,1024,2048,67.4422
2,128,2048,45.232
2,256,2048,69.655
2,512,2048,67.3027
2,1024,2048,56.9424
4,64,2048,45.2951
4,128,2048,69.5059
4,256,2048,67.4888
4,512,2048,56.9422
4,1024,2048,33.1038
8,64,2048,69.6546
8,128,2048,67.4888
8,256,2048,57.0089
8,512,2048,33.1938
8,1024,2048,18.1753
16,64,2048,67.3953
16,128,2048,56.9092
16,256,2048,33.2276
16,512,2048,18.1991
16,1024,2048,9.53953
32,64,2048,56.7769
32,128,2048,33.239
32,256,2048,18.1957
32,512,2048,9.54885
32,1024,2048,4.89186
