blocks,threads,reps,bandwidth
1,128,2048,24.8489
1,256,2048,42.6447
1,512,2048,49.1722
1,1024,2048,47.707
2,64,2048,24.8679
2,128,2048,42.6447
2,256,2048,49.1476
2,512,2048,49.1476
2,1024,2048,47.707
4,64,2048,42.6445
4,128,2048,47.707
4,256,2048,47.7069
4,512,2048,47.707
4,1024,2048,34.2173
8,64,2048,47.7303
8,128,2048,47.7069
8,256,2048,47.6837
8,512,2048,34.2292
8,1024,2048,18.3323
16,64,2048,47.7069
16,128,2048,47.6837
16,256,2048,34.0859
16,512,2048,18.4257
16,1024,2048,9.56663
32,64,2048,47.707
32,128,2048,34.4223
32,256,2048,18.513
32,512,2048,9.65172
32,1024,2048,4.90537
