4,1008,48,568,48,800,48,48,632,48,48,48,48,48,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1168,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,456,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,456,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,452,48,48,48,48,48,48,48,48,48,48,48
8,1024,48,1064,48,680,48,48,620,48,48,452,48,48,48,48,48,48,48,452,48,48,48,48,48,48,48,452,48,48,48,48,48,48,48,908,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,468,48,48,48,48,48,48,48,468,48,48,48,48,48,48,48,468,48,48,48,48,48,48,48,468,48,48,48,48,48,48,48,880,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,484,48,48,48,48,48,48,48,484,48,48,48,48,48
12,976,48,1164,48,680,48,48,620,48,48,48,48,480,48,48,48,48,48,484,48,48,48,48,876,48,48,48,48,452,48,48,48,48,48,452,48,48,48,48,452,48,48,48,48,496,48,48,48,48,48,492,48,48,48,48,492,48,48,48,48,496,48,48,48,48,48,768,48,48,48,48,456,48,48,48,48,456,48,48,48,48,48,456,48,48,48,48,796,48,48,48,48,484,48,48,48,48,48,484,48,48,48,48,484,48,48,48,48,892,48,48,48,48,48,480,48,48,48,48,452,48,48,48,48,452,48,48,48
16,1000,860,48,48,684,448,48,352,48,448,48,48,48,448,48,48,48,904,48,48,48,480,48,48,48,480,48,48,48,480,48,48,48,460,48,48,48,464,48,48,48,464,48,48,48,460,48,48,48,792,48,48,48,480,48,48,48,480,48,48,48,480,48,48,48,760,48,48,48,448,48,48,48,448,48,48,48,448,48,48,48,916,48,48,48,480,48,48,48,480,48,48,48,480,48,48,48,728,48,48,48,448,48,48,48,448,48,48,48,448,48,48,48,876,48,48,48,476,48,48,48,476,48,48,48,476,48,48
20,960,912,48,48,692,48,48,620,496,48,48,496,48,48,1332,48,48,464,48,48,464,48,48,48,464,48,48,484,48,48,484,48,48,484,48,48,484,48,48,48,752,48,48,444,48,48,444,48,48,444,48,48,800,48,48,48,492,48,48,488,48,48,492,48,48,900,48,48,464,48,48,48,464,48,48,464,48,48,744,48,48,472,48,48,472,48,48,48,472,48,48,840,48,48,440,48,48,440,48,48,436,48,48,48,816,48,48,492,48,48,492,48,48,492,48,48,872,48,48,48,452,48,48,456,48,48,456,48
24,976,1416,48,48,668,48,460,220,48,460,48,48,908,48,500,48,48,488,48,48,488,48,1120,48,48,448,48,48,448,48,448,48,48,1188,48,48,468,48,468,48,48,468,48,48,768,48,468,48,48,460,48,48,456,48,928,48,48,500,48,48,500,48,620,48,48,716,48,48,440,48,436,48,48,436,48,48,868,48,480,48,48,468,48,48,468,48,788,48,48,460,48,48,460,48,472,48,48,900,48,48,480,48,480,48,48,480,48,48,1428,48,460,48,48,436,48,48,440,48,1428,48,48,472,48,48,472,48,484,48
28,1000,916,48,500,324,48,500,48,512,48,896,48,484,48,48,472,48,484,48,744,48,48,492,48,496,48,504,48,1392,48,48,452,48,452,48,464,48,48,812,48,508,48,500,48,512,48,48,912,48,484,48,472,48,48,472,48,760,48,492,48,480,48,48,480,48,844,48,456,48,48,448,48,456,48,824,48,512,48,48,500,48,512,48,876,48,48,460,48,460,48,472,48,760,48,48,476,48,480,48,488,48,48,844,48,464,48,448,48,512,48,48,796,48,500,48,492,48,48,488,48,884,48,472,48,460,48,48,460
32,1012,848,48,464,540,464,48,464,48,912,48,504,48,488,48,504,48,452,48,460,48,452,48,540,48,780,48,480,48,468,48,496,48,772,48,472,48,460,48,516,48,928,48,504,48,492,48,504,48,720,48,456,48,440,48,540,48,872,48,480,48,472,48,516,48,788,48,476,48,464,48,528,48,904,48,496,48,484,48,488,48,1048,48,464,48,440,48,580,48,1652,48,488,48,476,48,504,48,760,48,464,48,452,48,560,48,908,48,492,48,480,48,496,48,724,48,448,48,448,48,576,48,920,48,512,48,504,48,512
36,1020,904,48,492,444,48,492,48,888,48,472,48,460,724,48,504,48,1208,48,500,652,48,772,48,472,48,460,48,524,804,48,500,48,492,48,500,900,48,472,48,460,48,512,48,784,624,48,488,48,496,48,860,640,48,460,48,528,48,812,48,500,444,48,492,48,860,48,460,400,48,448,48,768,48,496,48,484,648,48,1148,48,476,48,464,668,48,784,48,492,48,480,48,492,872,48,460,48,448,48,540,776,48,504,48,492,48,504,48,912,628,48,488,48,520,48,796,648,48,480,48,516,48,876,48,468,404,48,456
40,904,764,640,48,452,48,532,908,48,492,432,48,484,48,464,624,48,464,708,48,1292,48,496,432,48,484,760,48,460,48,452,720,48,924,624,48,484,48,532,732,48,468,404,48,456,48,884,644,48,480,696,48,776,48,464,404,48,452,796,48,484,48,472,672,48,736,640,48,452,48,536,880,48,496,436,48,484,48,744,636,48,440,716,48,892,48,484,424,48,472,732,48,464,48,452,692,48,928,620,48,508,48,520,744,48,448,392,48,436,48,896,620,48,472,704,48,788,48,496,432,48,484,884,48,500,48,488,636
