blocks,threads,reps,bandwidth
108,32,2048,194.68
108,64,2048,382.659
108,128,2048,688.956
108,256,2048,1340.83
108,512,2048,2095.49
108,1024,2048,2668.77
216,32,2048,360.289
216,64,2048,719.126
216,128,2048,1260.82
216,256,2048,2139.6
216,512,2048,2631.91
216,1024,2048,2797.17
432,32,2048,586.139
432,64,2048,1049.57
432,128,2048,1923.85
432,256,2048,2609.17
432,512,2048,2772.11
432,1024,2048,2814.55
864,32,2048,1099.77
864,64,2048,1959.55
864,128,2048,2603.52
864,256,2048,2778.27
864,512,2048,2802.82
864,1024,2048,2790.68
1728,32,2048,1989.18
1728,64,2048,2579.13
1728,128,2048,2769.29
1728,256,2048,2810.76
1728,512,2048,2799.93
1728,1024,2048,2766.47
3456,32,2048,2582.22
3456,64,2048,2759.26
3456,128,2048,2794.05
3456,256,2048,2777.28
3456,512,2048,2885.77
3456,1024,2048,2370.75
