blocks,threads,reps,bandwidth
108,32,2048,1843.06
108,64,2048,2298.55
108,128,2048,2295.77
108,256,2048,2287.12
108,512,2048,2300.84
108,1024,2048,2297.2
216,32,2048,2320.75
216,64,2048,2287.87
216,128,2048,2298.3
216,256,2048,2299.65
216,512,2048,2324.89
216,1024,2048,2325.84
432,32,2048,2317.99
432,64,2048,2282.1
432,128,2048,2309.43
432,256,2048,2345.57
432,512,2048,2333.83
432,1024,2048,2337.15
864,32,2048,2317.48
864,64,2048,2300.59
864,128,2048,2349.09
864,256,2048,2355.73
864,512,2048,2383.4
864,1024,2048,2374.44
1728,32,2048,2301.6
1728,64,2048,2353.34
1728,128,2048,2400.06
1728,256,2048,2420.51
1728,512,2048,2469.57
1728,1024,2048,2358.85
3456,32,2048,2364.92
3456,64,2048,2418.17
3456,128,2048,2477.7
3456,256,2048,2503.3
3456,512,2048,2485.09
3456,1024,2048,2215.21
