blocks,threads,reps,bandwidth
132,32,2048,160.753
132,64,2048,323.497
132,128,2048,635.954
132,256,2048,1265.46
132,512,2048,2498.25
132,1024,2048,4985.25
264,32,2048,323.441
264,64,2048,635.917
264,128,2048,1233.53
264,256,2048,2446.45
264,512,2048,4873.03
264,1024,2048,9528.13
528,32,2048,636.097
528,64,2048,1248.82
528,128,2048,2501.33
528,256,2048,4913.97
528,512,2048,9556.64
528,1024,2048,9427.59
1056,32,2048,1265.1
1056,64,2048,2500.85
1056,128,2048,4908.29
1056,256,2048,9565.96
1056,512,2048,9400.09
1056,1024,2048,8899.83
2112,32,2048,2497.3
2112,64,2048,4893.62
2112,128,2048,9576.13
2112,256,2048,9291.69
2112,512,2048,8522.39
2112,1024,2048,7817.02
4224,32,2048,4911.22
4224,64,2048,9318.51
4224,128,2048,9022.8
4224,256,2048,9600.55
4224,512,2048,8145.05
4224,1024,2048,5436.24
