blocks,threads,reps,bandwidth
132,32,2048,2847.4
132,64,2048,4087.54
132,128,2048,4079.62
132,256,2048,4104.02
132,512,2048,4088.72
132,1024,2048,4130.26
264,32,2048,4089.55
264,64,2048,4062.77
264,128,2048,4104.17
264,256,2048,4069.78
264,512,2048,4092.4
264,1024,2048,4017.89
528,32,2048,4095.53
528,64,2048,4075.45
528,128,2048,4090.71
528,256,2048,4028.67
528,512,2048,4070.51
528,1024,2048,3856.3
1056,32,2048,4093.54
1056,64,2048,4086.79
1056,128,2048,4085.75
1056,256,2048,4037.52
1056,512,2048,3966.01
1056,1024,2048,3786.67
2112,32,2048,4099.78
2112,64,2048,4081.01
2112,128,2048,4070.52
2112,256,2048,4069.33
2112,512,2048,3994.6
2112,1024,2048,3858.36
4224,32,2048,4068.85
4224,64,2048,4062.46
4224,128,2048,3923.47
4224,256,2048,4091.89
4224,512,2048,4024.26
4224,1024,2048,3757.45
